x,y,nx,ny,h,bnd_ident
0.73125,-1.0,0.0,-1.0,0.025,1
0.74375,-1.0,0.0,-1.0,0.025,1
0.75625,-1.0,0.0,-1.0,0.025,1
0.76875,-1.0,0.0,-1.0,0.025,1
-1.0,-0.68125,-1.0,0.0,0.025,1
0.78125,-1.0,0.0,-1.0,0.025,1
0.79375,-1.0,0.0,-1.0,0.025,1
0.80625,-1.0,0.0,-1.0,0.025,1
0.81875,-1.0,0.0,-1.0,0.025,1
0.83125,-1.0,0.0,-1.0,0.025,1
-1.0,0.45625,-1.0,0.0,0.025,1
0.84375,-1.0,0.0,-1.0,0.025,1
0.85625,-1.0,0.0,-1.0,0.025,1
0.86875,-1.0,0.0,-1.0,0.025,1
0.88125,-1.0,0.0,-1.0,0.025,1
0.89375,-1.0,0.0,-1.0,0.025,1
-1.0,0.44375,-1.0,0.0,0.025,1
0.90625,-1.0,0.0,-1.0,0.025,1
0.91875,-1.0,0.0,-1.0,0.025,1
0.93125,-1.0,0.0,-1.0,0.025,1
0.94375,-1.0,0.0,-1.0,0.025,1
0.95625,-1.0,0.0,-1.0,0.025,1
-1.0,0.43125,-1.0,0.0,0.025,1
0.96875,-1.0,0.0,-1.0,0.025,1
0.98125,-1.0,0.0,-1.0,0.025,1
0.99375,-1.0,0.0,-1.0,0.025,1
1.0,-0.99375,1.0,0.0,0.025,1
-1.0,-0.69375,-1.0,0.0,0.025,1
1.0,-0.98125,1.0,0.0,0.025,1
1.0,-0.96875,1.0,0.0,0.025,1
-1.0,0.41875,-1.0,0.0,0.025,1
1.0,-0.95625,1.0,0.0,0.025,1
1.0,-0.94375,1.0,0.0,0.025,1
1.0,-0.93125,1.0,0.0,0.025,1
-1.0,0.40625,-1.0,0.0,0.025,1
1.0,-0.91875,1.0,0.0,0.025,1
1.0,-0.90625,1.0,0.0,0.025,1
-1.0,-0.70625,-1.0,0.0,0.025,1
1.0,-0.89375,1.0,0.0,0.025,1
1.0,-0.88125,1.0,0.0,0.025,1
1.0,-0.86875,1.0,0.0,0.025,1
-1.0,0.39375,-1.0,0.0,0.025,1
1.0,-0.85625,1.0,0.0,0.025,1
1.0,-0.84375,1.0,0.0,0.025,1
-1.0,0.38125,-1.0,0.0,0.025,1
1.0,-0.83125,1.0,0.0,0.025,1
1.0,-0.81875,1.0,0.0,0.025,1
1.0,-0.80625,1.0,0.0,0.025,1
-1.0,0.36875,-1.0,0.0,0.025,1
1.0,-0.79375,1.0,0.0,0.025,1
1.0,-0.78125,1.0,0.0,0.025,1
-1.0,-0.95625,-1.0,0.0,0.025,1
1.0,-0.76875,1.0,0.0,0.025,1
1.0,-0.75625,1.0,0.0,0.025,1
1.0,-0.74375,1.0,0.0,0.025,1
-1.0,0.35625,-1.0,0.0,0.025,1
1.0,-0.73125,1.0,0.0,0.025,1
1.0,-0.71875,1.0,0.0,0.025,1
-1.0,0.34375,-1.0,0.0,0.025,1
1.0,-0.70625,1.0,0.0,0.025,1
1.0,-0.69375,1.0,0.0,0.025,1
1.0,-0.68125,1.0,0.0,0.025,1
-1.0,-0.71875,-1.0,0.0,0.025,1
